SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00227     1.00162                1           1
ATLAS_EG_SCALE_ALLCORR                                 0.99653     1.00507                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00034     1.00014                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00049     1.00037                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00001     0.999988               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997893    1.00211                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00325     0.996764               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.995043    1.00501                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.990041    1.0101                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999998    1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999944    1.00006                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999863    1.00014                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00035     0.999649               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999504    1.0005                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.0015      0.998503               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999697    1.0003                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00181     0.998194               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.997843    1.00216                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998446    1.00155                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996402    1.00362                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999683    1.00032                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.99974     1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999845    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999698    1.0003                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999865    1.00014                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999721    1.00028                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.994679    1.00536                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999139    1.00086                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999415    1.00059                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.9997      1.0003                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.99951     1.00049                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999736    1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999466    1.00053                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.994311    1.00573                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.985799    1.01444                1           1
ATLAS_FT_EFF_Eigen_B_0                                 1.00002     0.99998                1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.999974    1.00003                1           1
ATLAS_FT_EFF_Eigen_B_2                                 0.999984    1.00002                1           1
ATLAS_FT_EFF_Eigen_C_0                                 0.99983     1.00017                1           1
ATLAS_FT_EFF_Eigen_C_1                                 0.999815    1.00019                1           1
ATLAS_FT_EFF_Eigen_C_2                                 0.999857    1.00014                1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00006     0.999942               1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.999899    1.0001                 1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00001     0.999995               1           1
ATLAS_FT_EFF_Eigen_Light_2                             1.00003     0.99997                1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00002     0.999979               1           1
ATLAS_FT_EFF_Eigen_Light_4                             0.999991    1.00001                1           1
ATLAS_FT_EFF_extrapolation                             1.00003     0.999968               1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1           1                      1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
