SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.02172     1.00315                1           1
ATLAS_EG_SCALE_ALLCORR                                 1.02027     1.00621                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1           1.00519                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00421     0.996477               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    0.998846    1.00115                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.99715     1.00286                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00511     0.994921               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.996345    1.00367                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.990787    1.00938                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     1.00003     0.999974               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999887    1.00011                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999878    1.00012                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00025     0.999745               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999203    1.0008                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00112     0.998872               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999797    1.00021                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.003       0.997009               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.99682     1.00318                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.997912    1.00209                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.997715    1.00228                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999821    1.00018                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999828    1.00017                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999866    1.00013                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999706    1.00029                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999924    1.00008                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.992312    1.00773                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999157    1.00084                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999409    1.00059                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999747    1.00025                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999465    1.00053                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999908    1.00009                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999959    1.00004                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.993504    1.00655                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.984076    1.01629                1           1
ATLAS_FT_EFF_Eigen_B_0                                 1.00016     0.999842               1           1
ATLAS_FT_EFF_Eigen_B_1                                 1.00003     0.999969               1           1
