SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00038     0.999102               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.997761    1.00107                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.999887    0.999905               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.999498    0.999699               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00015     0.999853               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.998455    1.00155                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00187     0.998127               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.996673    1.00335                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.99112     1.00899                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999995    1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00003     0.999965               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999931    1.00007                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00018     0.999815               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999663    1.00034                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00126     0.998738               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999917    1.00008                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00109     0.998914               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.998584    1.00142                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.99878     1.00122                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.997147    1.00286                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999714    1.00029                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.99979     1.00021                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999863    1.00014                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999653    1.00035                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999787    1.00021                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999094    1.00091                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.996563    1.00345                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999357    1.00064                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.99952     1.00048                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999743    1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999525    1.00047                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999661    1.00034                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.998623    1.00138                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.994653    1.00538                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.988707    1.01143                1           1
ATLAS_FT_EFF_Eigen_B_0                                 0.999778    1.00021                1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.999882    1.00012                1           1
ATLAS_FT_EFF_Eigen_B_2                                 1.00002     0.999982               1           1
ATLAS_FT_EFF_Eigen_C_0                                 0.999751    1.00016                1           1
ATLAS_FT_EFF_Eigen_C_1                                 0.998785    1.00121                1           1
ATLAS_FT_EFF_Eigen_C_2                                 0.999468    1.00053                1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00014     0.99986                1           1
ATLAS_FT_EFF_Eigen_Light_0                             1.0002      0.999794               1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00007     0.999932               1           1
ATLAS_FT_EFF_Eigen_Light_2                             0.999868    1.00013                1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00019     0.999812               1           1
ATLAS_FT_EFF_Eigen_Light_4                             1.00007     0.999932               1           1
ATLAS_FT_EFF_extrapolation                             1.00007     0.999931               1           1
ATLAS_FT_EFF_extrapolation_from_charm                  0.999912    1.00009                1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.990698    1.0093                 1           1
ATLAS_JES_EffectiveNP_1                                0.994486    1.00578                1           1
ATLAS_JES_EffectiveNP_2                                0.996039    1.00341                1           1
ATLAS_JES_EffectiveNP_3                                1.00363     0.996017               1           1
ATLAS_JES_EffectiveNP_4                                0.996111    1.00269                1           1
ATLAS_JES_EffectiveNP_5                                0.998471    1.00051                1           1
ATLAS_JES_EffectiveNP_6                                1.00096     0.998469               1           1
ATLAS_JES_EffectiveNP_7                                1.00095     0.99847                1           1
ATLAS_JES_EtaInter_Model                               0.995649    1.00515                1           1
ATLAS_JES_EtaInter_NonClosure                          1.00289     0.996568               1           1
ATLAS_JES_EtaInter_Stat                                0.997532    1.00148                1           1
ATLAS_JES_Flavor_Comp                                  0.979783    1.02237                1           1
ATLAS_JES_Flavor_Resp                                  1.00986     0.991256               1           1
ATLAS_JES_HighPt                                       1           1                      1           1
ATLAS_JES_PU_OffsetMu                                  1.0003      0.998544               1           1
ATLAS_JES_PU_OffsetNPV                                 0.998413    1.00117                1           1
ATLAS_JES_PU_PtTerm                                    0.992423    1.00839                1           1
ATLAS_JES_PU_Rho                                       0.992677    1.00877                1           1
