SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                0.997935    0.9968                 1           1
ATLAS_EG_SCALE_ALLCORR                                 1.00266     0.995657               1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.999696    0.999971               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.998709    1.0002                 1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00007     0.999928               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.998747    1.00126                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00175     0.998249               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.995518    1.00451                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.988914    1.01123                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999994    1.00001                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00001     0.999989               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999884    1.00012                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00023     0.999773               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999641    1.00036                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00173     0.998274               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     1.00008     0.999916               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00115     0.998847               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.99888     1.00112                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998801    1.0012                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996526    1.00348                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.99959     1.00041                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999646    1.00035                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999775    1.00022                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999581    1.00042                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999854    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999721    1.00028                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.996805    1.0032                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999158    1.00084                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999227    1.00077                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999589    1.00041                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999347    1.00065                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999773    1.00023                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999638    1.00036                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.995861    1.00415                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.987397    1.01274                1           1
ATLAS_FT_EFF_Eigen_B_0                                 1.0001      0.999895               1           1
ATLAS_FT_EFF_Eigen_B_1                                 1           0.999995               1           1
ATLAS_FT_EFF_Eigen_B_2                                 0.999977    1.00002                1           1
ATLAS_FT_EFF_Eigen_C_0                                 1.00115     0.998868               1           1
ATLAS_FT_EFF_Eigen_C_1                                 0.999522    1.00048                1           1
ATLAS_FT_EFF_Eigen_C_2                                 0.999657    1.00034                1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00006     0.999938               1           1
ATLAS_FT_EFF_Eigen_Light_0                             1.00062     0.999376               1           1
ATLAS_FT_EFF_Eigen_Light_1                             0.999731    1.00027                1           1
ATLAS_FT_EFF_Eigen_Light_2                             1.00056     0.999444               1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00009     0.999908               1           1
ATLAS_FT_EFF_Eigen_Light_4                             0.999933    1.00007                1           1
ATLAS_FT_EFF_extrapolation                             1.00005     0.999947               1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1.00007     0.999925               1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.999632    1.00037                1           1
ATLAS_JES_EffectiveNP_1                                0.999949    0.99999                1           1
ATLAS_JES_EffectiveNP_2                                0.999999    0.999998               1           1
ATLAS_JES_EffectiveNP_3                                1           1                      1           1
ATLAS_JES_EffectiveNP_4                                1           1                      1           1
ATLAS_JES_EffectiveNP_5                                1           0.999999               1           1
ATLAS_JES_EffectiveNP_6                                1           1                      1           1
ATLAS_JES_EffectiveNP_7                                1           1                      1           1
ATLAS_JES_EtaInter_Model                               1.00017     0.999845               1           1
ATLAS_JES_EtaInter_NonClosure                          0.999989    1                      1           1
ATLAS_JES_EtaInter_Stat                                0.999997    0.999992               1           1
ATLAS_JES_Flavor_Comp                                  1.00023     0.999757               1           1
ATLAS_JES_Flavor_Resp                                  0.999959    1.00002                1           1
ATLAS_JES_HighPt                                       1           1                      1           1
ATLAS_JES_PU_OffsetMu                                  0.999995    1                      1           1
ATLAS_JES_PU_OffsetNPV                                 0.99999     1                      1           1
ATLAS_JES_PU_PtTerm                                    0.999991    0.999989               1           1
ATLAS_JES_PU_Rho                                       1.00012     0.99997                1           1
ATLAS_JES_PunchThrough                                 1           1                      1           1
ATLAS_JET_BJES_Response                                0.999914    1.00002                1           1
ATLAS_JET_EffectiveNP_8restTerm                        1           1                      1           1
ATLAS_JVT                                              0.999973    0.999998               1           1
ATLAS_MUON_EFF_STAT                                    0.996947    1.00306                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.999108    1.00089                1           1
ATLAS_MUON_EFF_SYS                                     0.984769    1.01547                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.998414    1.00159                1           1
ATLAS_MUON_ID                                          1.00181     1.00167                1           1
ATLAS_MUON_ISO_STAT                                    0.997777    1.00223                1           1
ATLAS_MUON_ISO_SYS                                     0.993997    1.00603                1           1
ATLAS_MUON_MS                                          1.00202     0.998678               1           1
ATLAS_MUON_SAGITTA_RESBIAS                             0.998534    1.00136                1           1
ATLAS_MUON_SAGITTA_RHO                                 0.997924    0.997433               1           1
ATLAS_MUON_SCALE                                       0.997875    0.999911               1           1
ATLAS_MUON_TTVA_STAT                                   0.995889    1.00413                1           1
ATLAS_MUON_TTVA_SYS                                    0.998001    1.002                  1           1
ATLAS_PRW_DATASF                                       1.01461     0.986196               1           1
ATLAS_pdf_sig_gg                                       1.000000    1.000000               1           1
ATLAS_pdf_sig_qq                                       0.998669    1.001331               1           1
ATLAS_scale_sig_WH                                     0.989833    1.007351               1           1
ATLAS_HiggsMassVariation                               0.993308    1.006692               1           1
ATLAS_SignalComposition_ggH                            1.14475     0.0122525              1           1
ATLAS_SignalComposition_VBF                            1.01394     0.0136489              1           1
ATLAS_SignalComposition_WH                             0.573272    0.0198317              1           1
ATLAS_SignalComposition_ZH                             1.00781     0.0137323              1           1
ATLAS_SignalComposition_ttH                            1           0.0134553              1           1
ATLAS_SignalComposition_bbH                            1.002       0.0138132              1           1
