SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.0011      0.998635               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.995935    1.00289                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.999705    1.00043                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.99908     1.00087                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00007     0.999934               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997818    1.00219                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00334     0.996671               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.994799    1.00525                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.990193    1.00995                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     1.00001     0.999991               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999987    1.00001                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999893    1.00011                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00035     0.999654               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999504    1.0005                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00159     0.998415               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999607    1.00039                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00188     0.998126               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.997778    1.00222                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998084    1.00192                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.995798    1.00422                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999642    1.00036                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999739    1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999859    1.00014                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999667    1.00033                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999854    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999626    1.00037                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.994778    1.00525                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999112    1.00089                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999436    1.00056                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999726    1.00027                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999538    1.00046                1           1
