SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.01121     0.998354               1           1
ATLAS_EG_SCALE_ALLCORR                                 1.00602     1.00365                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.999454    0.999185               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00237     0.999097               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00041     0.99959                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.996892    1.00312                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00495     0.995091               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.995636    1.00437                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.992266    1.00782                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     1.00008     0.999918               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.9999      1.0001                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999842    1.00016                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00064     0.999366               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999395    1.00061                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00136     0.998637               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999551    1.00045                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00243     0.997583               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.997464    1.00254                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.997998    1.002                  1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.994937    1.00511                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999791    1.00021                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.99985     1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999907    1.00009                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999639    1.00036                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999944    1.00006                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999996    1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.99246     1.00764                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999144    1.00086                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999618    1.00038                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999779    1.00022                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.99948     1.00052                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.99987     1.00013                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999976    1.00002                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.99417     1.00586                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.984037    1.01632                1           1
ATLAS_FT_EFF_Eigen_B_0                                 1.00052     0.999518               1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.999786    1.00021                1           1
ATLAS_FT_EFF_Eigen_B_2                                 1.00007     0.999933               1           1
ATLAS_FT_EFF_Eigen_C_0                                 1.00002     0.999982               1           1
ATLAS_FT_EFF_Eigen_C_1                                 1.00001     0.999993               1           1
ATLAS_FT_EFF_Eigen_C_2                                 0.999952    1.00005                1           1
ATLAS_FT_EFF_Eigen_C_3                                 0.999997    1                      1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.99976     1.00024                1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00001     0.999993               1           1
ATLAS_FT_EFF_Eigen_Light_2                             1.00018     0.999822               1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00037     0.99963                1           1
ATLAS_FT_EFF_Eigen_Light_4                             0.999693    1.00031                1           1
ATLAS_FT_EFF_extrapolation                             0.999954    1.00005                1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1           1                      1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.998997    1.001                  1           1
ATLAS_JES_EffectiveNP_1                                0.999955    1.00009                1           1
ATLAS_JES_EffectiveNP_2                                0.999993    0.999967               1           1
ATLAS_JES_EffectiveNP_3                                0.999992    0.999998               1           1
ATLAS_JES_EffectiveNP_4                                1           0.999995               1           1
ATLAS_JES_EffectiveNP_5                                1.00001     0.999999               1           1
ATLAS_JES_EffectiveNP_6                                1           1.00001                1           1
ATLAS_JES_EffectiveNP_7                                1           1                      1           1
ATLAS_JES_EtaInter_Model                               0.999261    1.00028                1           1
ATLAS_JES_EtaInter_NonClosure                          0.999969    1.00009                1           1
ATLAS_JES_EtaInter_Stat                                0.999971    0.999967               1           1
ATLAS_JES_Flavor_Comp                                  0.999547    1.00011                1           1
ATLAS_JES_Flavor_Resp                                  1.00005     1.00005                1           1
ATLAS_JES_HighPt                                       1           1                      1           1
ATLAS_JES_PU_OffsetMu                                  1           1.00022                1           1
ATLAS_JES_PU_OffsetNPV                                 0.999936    1.00009                1           1
ATLAS_JES_PU_PtTerm                                    0.99999     0.999996               1           1
ATLAS_JES_PU_Rho                                       0.999932    1.00008                1           1
ATLAS_JES_PunchThrough                                 1           1                      1           1
ATLAS_JET_BJES_Response                                0.99994     1.00004                1           1
ATLAS_JET_EffectiveNP_8restTerm                        0.999994    1.00001                1           1
ATLAS_JVT                                              1.00002     0.999985               1           1
ATLAS_MUON_EFF_STAT                                    0.997133    1.00287                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.997634    1.00237                1           1
ATLAS_MUON_EFF_SYS                                     0.987486    1.01266                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.995351    1.00466                1           1
ATLAS_MUON_ID                                          1.00165     1.00238                1           1
ATLAS_MUON_ISO_STAT                                    0.994823    1.00519                1           1
ATLAS_MUON_ISO_SYS                                     0.988799    1.01129                1           1
ATLAS_MUON_MS                                          0.99625     1.00614                1           1
ATLAS_MUON_SAGITTA_RESBIAS                             1.00154     0.996881               1           1
ATLAS_MUON_SAGITTA_RHO                                 0.998915    0.998277               1           1
ATLAS_MUON_SCALE                                       1.00359     1.00449                1           1
ATLAS_MUON_TTVA_STAT                                   0.99432     1.00571                1           1
ATLAS_MUON_TTVA_SYS                                    0.997573    1.00243                1           1
ATLAS_PRW_DATASF                                       1.01341     1.0008                 1           1
ATLAS_pdf_sig_gg                                       1.000000    1.000000               1           1
ATLAS_pdf_sig_qq                                       1.000000    1.000000               1           1
ATLAS_scale_sig_bbH                                    0.974637    1.043571               1           1
ATLAS_HiggsMassVariation                               0.999253    1.000747               1           1
ATLAS_SignalComposition_ggH                            1.14512     0.907374               1           1
ATLAS_SignalComposition_VBF                            1.01384     1.01113                1           1
ATLAS_SignalComposition_WH                             1.01088     1.02518                1           1
ATLAS_SignalComposition_ZH                             1.00756     1.01744                1           1
ATLAS_SignalComposition_ttH                            1           0.997945               1           1
ATLAS_SignalComposition_bbH                            0.781541    1.24831                1           1
