SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00311     1.00565                1           1
ATLAS_EG_SCALE_ALLCORR                                 1.00637     0.999606               1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.998992    0.998952               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00372     0.997483               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00015     0.999854               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997158    1.00285                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00431     0.995712               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.995488    1.00453                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.991125    1.009                  1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999976    1.00002                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00013     0.999867               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     1.00009     0.999914               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00051     0.999486               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.99956     1.00044                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00143     0.998574               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999238    1.00076                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00223     0.997773               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.99679     1.00321                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.997298    1.0027                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.994363    1.00571                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999692    1.00031                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999709    1.00029                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999856    1.00014                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999554    1.00045                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999933    1.00007                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999979    1.00002                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.993424    1.00661                1           1
