SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                0.999089    1.00384                1           1
ATLAS_EG_SCALE_ALLCORR                                 1.01226     1.00411                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00035     1.00085                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00268     1.00395                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1.00098     1.00098                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1.00098     1.00098                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    0.999907    1.00009                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.998262    1.00174                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00263     0.997368               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.992389    1.00768                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.986201    1.01412                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999992    1.00001                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00026     0.99974                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999795    1.00021                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00043     0.999566               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999408    1.00059                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00236     0.997642               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999873    1.00013                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00183     0.998171               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.999034    1.00097                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998667    1.00133                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.995712    1.0043                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.99947     1.00053                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.99953     1.00047                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999793    1.00021                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999698    1.0003                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999969    1.00003                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999985    1.00001                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.99566     1.00435                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.998775    1.00123                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999054    1.00095                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999408    1.00059                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999447    1.00055                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999953    1.00005                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.99998     1.00002                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.995887    1.00413                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.985154    1.01511                1           1
ATLAS_FT_EFF_Eigen_B_0                                 1.00002     0.99997                1           1
ATLAS_FT_EFF_Eigen_B_1                                 1.00001     0.999988               1           1
ATLAS_FT_EFF_Eigen_B_2                                 0.999998    1                      1           1
ATLAS_FT_EFF_Eigen_C_0                                 0.999184    1.00082                1           1
ATLAS_FT_EFF_Eigen_C_1                                 1.00071     0.999292               1           1
ATLAS_FT_EFF_Eigen_C_2                                 1.00029     0.99971                1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00014     0.999855               1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.999744    1.00026                1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00006     0.99994                1           1
ATLAS_FT_EFF_Eigen_Light_2                             0.999941    1.00006                1           1
ATLAS_FT_EFF_Eigen_Light_3                             0.99998     1.00002                1           1
ATLAS_FT_EFF_Eigen_Light_4                             1.00007     0.999934               1           1
ATLAS_FT_EFF_extrapolation                             0.999994    1.00001                1           1
ATLAS_FT_EFF_extrapolation_from_charm                  0.999998    1                      1           1
ATLAS_HOEW                                             1.00566     0.994344               1           1
ATLAS_HOEW_QCD                                         1.00761     0.992389               1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.999303    1.0007                 1           1
ATLAS_JES_EffectiveNP_1                                1.001       1.00112                1           1
ATLAS_JES_EffectiveNP_2                                1.001       1.00098                1           1
ATLAS_JES_EffectiveNP_3                                1.00099     1.00098                1           1
ATLAS_JES_EffectiveNP_4                                1.00099     1.00098                1           1
ATLAS_JES_EffectiveNP_5                                1.00098     1.00099                1           1
ATLAS_JES_EffectiveNP_6                                1.00099     1.00098                1           1
ATLAS_JES_EffectiveNP_7                                1.00098     1.00098                1           1
ATLAS_JES_EtaInter_Model                               1.00081     1.00099                1           1
ATLAS_JES_EtaInter_NonClosure                          1.00099     1.00098                1           1
ATLAS_JES_EtaInter_Stat                                1.00098     1.00099                1           1
ATLAS_JES_Flavor_Comp                                  1.00086     1.0009                 1           1
ATLAS_JES_Flavor_Resp                                  1.00098     1.00099                1           1
ATLAS_JES_HighPt                                       1.00098     1.00098                1           1
ATLAS_JES_PU_OffsetMu                                  1.00098     1.001                  1           1
ATLAS_JES_PU_OffsetNPV                                 1.00099     1.00105                1           1
ATLAS_JES_PU_PtTerm                                    1.001       1.00098                1           1
ATLAS_JES_PU_Rho                                       1.00107     1.00111                1           1
ATLAS_JES_PunchThrough                                 1.00098     1.00098                1           1
ATLAS_JET_BJES_Response                                1.00099     1.00105                1           1
ATLAS_JET_EffectiveNP_8restTerm                        1.00099     1.00098                1           1
ATLAS_JVT                                              1.00099     1.00098                1           1
ATLAS_MUON_EFF_STAT                                    0.996937    1.00307                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.998701    1.0013                 1           1
ATLAS_MUON_EFF_SYS                                     0.985081    1.01518                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.997712    1.00229                1           1
ATLAS_MUON_ID                                          1.0012      0.997872               1           1
ATLAS_MUON_ISO_STAT                                    0.997032    1.00298                1           1
ATLAS_MUON_ISO_SYS                                     0.993475    1.00657                1           1
ATLAS_MUON_MS                                          1.00094     0.999104               1           1
ATLAS_MUON_SAGITTA_RESBIAS                             1.00145     1.00091                1           1
ATLAS_MUON_SAGITTA_RHO                                 1.00123     1.00134                1           1
ATLAS_MUON_SCALE                                       0.998596    1.00281                1           1
ATLAS_MUON_TTVA_STAT                                   0.994688    1.00534                1           1
ATLAS_MUON_TTVA_SYS                                    0.997833    1.00217                1           1
ATLAS_PRW_DATASF                                       1.02316     0.97718                1           1
ATLAS_pdf_qqZZ                                         0.980000    1.020000               1           1
ATLAS_scale_qqZZ                                       0.956000    1.052000               1           1
ATLAS_ShowerQSF_qqZZ                                   1.026000    1.066000               1           1
ATLAS_ShowerCKKW_qqZZ                                  1.016000    1.056000               1           1
ATLAS_ShowerCSSKIN_qqZZ                                1.042000    0.958000               1           1
