SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00102     0.998757               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.996919    1.00331                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.0002      0.999648               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.998963    0.999834               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             0.999999    0.999999               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             0.999999    0.999999               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00003     0.999967               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997567    1.00244                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00427     0.995751               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.99373     1.00633                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.990272    1.00988                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     1.00003     0.99997                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00006     0.999943               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999804    1.0002                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00062     0.99938                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999261    1.00074                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00168     0.998328               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999548    1.00045                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00235     0.997656               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.997647    1.00235                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998347    1.00165                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996215    1.0038                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999587    1.00041                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999753    1.00025                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999851    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.99968     1.00032                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.99997     1.00003                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999994    1.00001                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.992848    1.00722                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.998975    1.00103                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.99939     1.00061                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999727    1.00027                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999439    1.00056                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999925    1.00007                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.99998     1.00002                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.994016    1.00602                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.984281    1.01603                1           1
ATLAS_FT_EFF_Eigen_B_0                                 0.99309     1.00691                1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.999051    1.00095                1           1
ATLAS_FT_EFF_Eigen_B_2                                 1.00129     0.998708               1           1
ATLAS_FT_EFF_Eigen_C_0                                 0.999732    1.00027                1           1
ATLAS_FT_EFF_Eigen_C_1                                 1.00006     0.999939               1           1
ATLAS_FT_EFF_Eigen_C_2                                 1.00002     0.999981               1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00002     0.999981               1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.999764    1.00024                1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00005     0.999954               1           1
ATLAS_FT_EFF_Eigen_Light_2                             0.999986    1.00001                1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00003     0.999974               1           1
ATLAS_FT_EFF_Eigen_Light_4                             1.00002     0.999978               1           1
ATLAS_FT_EFF_extrapolation                             0.999981    1.00002                1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1           1                      1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.999751    1.00025                1           1
ATLAS_JES_EffectiveNP_1                                1.00218     0.996271               1           1
ATLAS_JES_EffectiveNP_2                                0.999276    1.00032                1           1
ATLAS_JES_EffectiveNP_3                                0.999945    0.999811               1           1
ATLAS_JES_EffectiveNP_4                                1.00001     0.99988                1           1
ATLAS_JES_EffectiveNP_5                                0.999626    1.00015                1           1
ATLAS_JES_EffectiveNP_6                                1.00016     0.999627               1           1
ATLAS_JES_EffectiveNP_7                                1.00007     0.999998               1           1
ATLAS_JES_EtaInter_Model                               1.00179     0.997679               1           1
ATLAS_JES_EtaInter_NonClosure                          0.999347    0.999793               1           1
ATLAS_JES_EtaInter_Stat                                1.00051     0.999193               1           1
ATLAS_JES_Flavor_Comp                                  1.00066     0.999217               1           1
ATLAS_JES_Flavor_Resp                                  0.999856    1.00007                1           1
ATLAS_JES_HighPt                                       0.999999    0.999999               1           1
ATLAS_JES_PU_OffsetMu                                  1.00013     1.00076                1           1
ATLAS_JES_PU_OffsetNPV                                 1.00086     0.99872                1           1
ATLAS_JES_PU_PtTerm                                    0.999963    0.99959                1           1
ATLAS_JES_PU_Rho                                       1.00275     0.993921               1           1
ATLAS_JES_PunchThrough                                 0.999999    0.999999               1           1
ATLAS_JET_BJES_Response                                1.00087     0.996869               1           1
ATLAS_JET_EffectiveNP_8restTerm                        0.999913    0.999701               1           1
ATLAS_JVT                                              1.00084     0.999599               1           1
ATLAS_MUON_EFF_STAT                                    0.997242    1.00276                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.997979    1.00202                1           1
ATLAS_MUON_EFF_SYS                                     0.986631    1.01355                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.99615     1.00386                1           1
ATLAS_MUON_ID                                          0.999997    0.999                  1           1
ATLAS_MUON_ISO_STAT                                    0.995691    1.00432                1           1
ATLAS_MUON_ISO_SYS                                     0.990605    1.00946                1           1
ATLAS_MUON_MS                                          0.997586    0.998559               1           1
ATLAS_MUON_SAGITTA_RESBIAS                             1.00005     0.998485               1           1
ATLAS_MUON_SAGITTA_RHO                                 0.997901    0.998492               1           1
ATLAS_MUON_SCALE                                       0.998613    0.99942                1           1
ATLAS_MUON_TTVA_STAT                                   0.99447     1.00556                1           1
ATLAS_MUON_TTVA_SYS                                    0.997636    1.00237                1           1
ATLAS_PRW_DATASF                                       1.00677     0.993543               1           1
ATLAS_pdf_sig_gg                                       1.000000    1.000000               1           1
ATLAS_pdf_sig_qq                                       1.000000    1.000000               1           1
ATLAS_scale_sig_bbH                                    0.978263    1.037255               1           1
ATLAS_HiggsMassVariation                               0.995801    1.004199               1           1
ATLAS_SignalComposition_ggH                            1.14733     0.90679                1           1
ATLAS_SignalComposition_VBF                            1.01382     1.01214                1           1
ATLAS_SignalComposition_WH                             1.01126     1.02625                1           1
ATLAS_SignalComposition_ZH                             1.00676     1.01927                1           1
ATLAS_SignalComposition_ttH                            1           1.02476                1           1
ATLAS_SignalComposition_bbH                            0.781152    1.25019                1           1
