SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00122     0.997021               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.994071    1.00052                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.999836    1.00015                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.998916    1.00159                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    0.999798    1.0002                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997847    1.00216                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.0029      0.997112               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.995226    1.00481                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.988581    1.0116                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999987    1.00001                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999848    1.00015                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999711    1.00029                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00038     0.999621               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999521    1.00048                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.0017      0.998304               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999659    1.00034                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00201     0.997992               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.997885    1.00212                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998459    1.00154                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996306    1.00371                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.99973     1.00027                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999775    1.00023                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999855    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999754    1.00025                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999878    1.00012                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999625    1.00038                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.994713    1.00532                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999147    1.00085                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999287    1.00071                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.99959     1.00041                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999431    1.00057                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999672    1.00033                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999008    1.001                  1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.993128    1.00691                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.985286    1.01494                1           1
ATLAS_FT_EFF_Eigen_B_0                                 0.94392     1.05769                1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.974632    1.02569                1           1
ATLAS_FT_EFF_Eigen_B_2                                 1.01125     0.988838               1           1
ATLAS_FT_EFF_Eigen_C_0                                 0.979424    1.02083                1           1
ATLAS_FT_EFF_Eigen_C_1                                 0.995827    1.00419                1           1
ATLAS_FT_EFF_Eigen_C_2                                 1.00004     0.999955               1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00086     0.999144               1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.997549    1.00246                1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00036     0.99964                1           1
ATLAS_FT_EFF_Eigen_Light_2                             1.00011     0.999893               1           1
ATLAS_FT_EFF_Eigen_Light_3                             0.999935    1.00006                1           1
ATLAS_FT_EFF_Eigen_Light_4                             1.00062     0.999385               1           1
ATLAS_FT_EFF_extrapolation                             1.0017      0.998303               1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1.00044     0.999562               1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.997415    1.00258                1           1
ATLAS_JES_EffectiveNP_1                                1.00933     0.996395               1           1
ATLAS_JES_EffectiveNP_2                                0.998495    1.00114                1           1
ATLAS_JES_EffectiveNP_3                                1.00013     1.00022                1           1
ATLAS_JES_EffectiveNP_4                                1.00023     1.00008                1           1
ATLAS_JES_EffectiveNP_5                                0.999524    1.00051                1           1
ATLAS_JES_EffectiveNP_6                                1.0005      0.999531               1           1
ATLAS_JES_EffectiveNP_7                                1.00003     1.00002                1           1
ATLAS_JES_EtaInter_Model                               1.00338     0.99929                1           1
ATLAS_JES_EtaInter_NonClosure                          0.997983    1.00133                1           1
ATLAS_JES_EtaInter_Stat                                1.00164     0.998637               1           1
ATLAS_JES_Flavor_Comp                                  1.00101     0.998845               1           1
ATLAS_JES_Flavor_Resp                                  0.999983    1.00013                1           1
ATLAS_JES_HighPt                                       1           1                      1           1
ATLAS_JES_PU_OffsetMu                                  0.999949    1.00083                1           1
ATLAS_JES_PU_OffsetNPV                                 1.00268     0.997093               1           1
ATLAS_JES_PU_PtTerm                                    1.00007     0.999213               1           1
ATLAS_JES_PU_Rho                                       1.01368     0.988507               1           1
ATLAS_JES_PunchThrough                                 1           1                      1           1
ATLAS_JET_BJES_Response                                1.00621     0.999018               1           1
ATLAS_JET_EffectiveNP_8restTerm                        0.99998     0.999227               1           1
ATLAS_JVT                                              1.00102     0.997598               1           1
ATLAS_MUON_EFF_STAT                                    0.99753     1.00248                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.99894     1.00106                1           1
ATLAS_MUON_EFF_SYS                                     0.985939    1.01429                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.99777     1.00223                1           1
ATLAS_MUON_ID                                          0.999812    0.999391               1           1
ATLAS_MUON_ISO_STAT                                    0.997236    1.00277                1           1
ATLAS_MUON_ISO_SYS                                     0.992877    1.00717                1           1
ATLAS_MUON_MS                                          1.00327     0.997831               1           1
ATLAS_MUON_SAGITTA_RESBIAS                             1.00048     0.997476               1           1
ATLAS_MUON_SAGITTA_RHO                                 1.00013     1.00013                1           1
ATLAS_MUON_SCALE                                       0.998709    1.0008                 1           1
ATLAS_MUON_TTVA_STAT                                   0.996375    1.00364                1           1
ATLAS_MUON_TTVA_SYS                                    0.99798     1.00203                1           1
ATLAS_PRW_DATASF                                       1.01414     0.983975               1           1
ATLAS_pdf_sig_gg                                       1.000000    1.000000               1           1
ATLAS_pdf_sig_qq                                       1.000000    1.000000               1           1
ATLAS_scale_sig_ttH                                    1.000000    1.000000               1           1
ATLAS_HiggsMassVariation                               0.999533    1.000467               1           1
ATLAS_SignalComposition_ggH                            1.14733     0.90679                1           1
ATLAS_SignalComposition_VBF                            1.01382     1.01214                1           1
ATLAS_SignalComposition_WH                             1.01126     1.02625                1           1
ATLAS_SignalComposition_ZH                             1.00676     1.01927                1           1
ATLAS_SignalComposition_ttH                            1           4.09903                1           1
ATLAS_SignalComposition_bbH                            1.00148     1.02474                1           1
