SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00401     0.999737               1           1
ATLAS_EG_SCALE_ALLCORR                                 1.00203     1.00405                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.998857    1.00122                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.996652    1.00163                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    0.99984     1.00016                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997829    1.00218                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00308     0.996934               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.995471    1.00456                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.990063    1.0101                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999918    1.00008                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999938    1.00006                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999866    1.00013                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00029     0.999714               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999506    1.00049                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00159     0.998415               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999719    1.00028                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00205     0.997954               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.998101    1.0019                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.997524    1.00248                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996356    1.00366                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999794    1.00021                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999596    1.0004                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999798    1.0002                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999592    1.00041                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999869    1.00013                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.994457    1.00559                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999114    1.00089                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999363    1.00064                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999635    1.00036                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999489    1.00051                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999852    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999947    1.00005                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.994366    1.00567                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.985228    1.01504                1           1
ATLAS_FT_EFF_Eigen_B_0                                 1.00025     0.999751               1           1
