SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.0011      0.998733               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.997182    1.00259                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00006     0.999981               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.999561    1.00048                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    0.999961    1.00004                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.99809     1.00192                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00287     0.997135               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.995168    1.00488                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.989984    1.01016                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999995    1.00001                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999979    1.00002                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999901    1.0001                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00036     0.999645               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999526    1.00047                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00159     0.998417               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999726    1.00027                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00171     0.998294               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.998036    1.00196                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.99854     1.00146                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996686    1.00333                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999687    1.00031                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.99975     1.00025                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999854    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999704    1.0003                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.99987     1.00013                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999713    1.00029                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.995116    1.00491                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999141    1.00086                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999356    1.00064                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999678    1.00032                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999486    1.00051                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999729    1.00027                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999464    1.00054                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.994611    1.00542                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.986479    1.01373                1           1
ATLAS_FT_EFF_Eigen_B_0                                 0.999975    1.00002                1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.999972    1.00003                1           1
ATLAS_FT_EFF_Eigen_B_2                                 1           0.999996               1           1
ATLAS_FT_EFF_Eigen_C_0                                 0.999953    1.00004                1           1
ATLAS_FT_EFF_Eigen_C_1                                 0.999941    1.00006                1           1
ATLAS_FT_EFF_Eigen_C_2                                 0.999972    1.00003                1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00001     0.999985               1           1
ATLAS_FT_EFF_Eigen_Light_0                             1.00002     0.999982               1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00003     0.999972               1           1
ATLAS_FT_EFF_Eigen_Light_2                             0.99995     1.00005                1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00005     0.999951               1           1
ATLAS_FT_EFF_Eigen_Light_4                             1           1                      1           1
ATLAS_FT_EFF_extrapolation                             1.00001     0.999991               1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1           1                      1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.999808    1.00019                1           1
ATLAS_JES_EffectiveNP_1                                0.997602    1.00269                1           1
