SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00682     1.00034                1           1
ATLAS_EG_SCALE_ALLCORR                                 0.997355    1.01352                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00025     1.00057                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.995953    1.00132                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00014     0.999862               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997421    1.00259                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00524     0.994776               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.992495    1.00761                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.988074    1.01212                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999927    1.00007                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999773    1.00023                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999663    1.00034                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00079     0.999208               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999267    1.00073                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00191     0.9981                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999281    1.00072                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00271     0.997298               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.996793    1.00321                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998899    1.0011                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.994221    1.00582                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.99963     1.00037                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999615    1.00038                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999873    1.00013                1           1
