SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.001       0.997516               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.997391    1.00272                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00016     1.00004                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.999314    1.0004                 1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00001     0.999994               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.998041    1.00197                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00309     0.996923               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.994911    1.00513                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.989781    1.01037                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     1.00001     0.999993               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.999971    1.00003                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999871    1.00013                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00038     0.999618               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999484    1.00052                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00164     0.998369               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.99972     1.00028                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00176     0.998239               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.998012    1.00199                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.998583    1.00142                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996439    1.00357                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999676    1.00032                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999754    1.00025                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.99986     1.00014                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999713    1.00029                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999892    1.00011                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999743    1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.994975    1.00505                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999119    1.00088                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999348    1.00065                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.99968     1.00032                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999479    1.00052                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999748    1.00025                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999482    1.00052                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.994599    1.00543                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.986208    1.01401                1           1
ATLAS_FT_EFF_Eigen_B_0                                 1.00005     0.999948               1           1
ATLAS_FT_EFF_Eigen_B_1                                 1.00002     0.999975               1           1
ATLAS_FT_EFF_Eigen_B_2                                 0.999988    1.00001                1           1
ATLAS_FT_EFF_Eigen_C_0                                 1.00147     0.998543               1           1
ATLAS_FT_EFF_Eigen_C_1                                 1.00021     0.999787               1           1
ATLAS_FT_EFF_Eigen_C_2                                 0.999882    1.00012                1           1
ATLAS_FT_EFF_Eigen_C_3                                 0.999971    1.00003                1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.999926    1.00007                1           1
ATLAS_FT_EFF_Eigen_Light_1                             0.999986    1.00001                1           1
ATLAS_FT_EFF_Eigen_Light_2                             1.00006     0.999943               1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00002     0.999976               1           1
ATLAS_FT_EFF_Eigen_Light_4                             0.999966    1.00003                1           1
ATLAS_FT_EFF_extrapolation                             0.999976    1.00002                1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1           1                      1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.960179    1.03982                1           1
ATLAS_JES_EffectiveNP_1                                0.972277    1.03113                1           1
ATLAS_JES_EffectiveNP_2                                1.00662     0.99438                1           1
ATLAS_JES_EffectiveNP_3                                0.999921    1.00091                1           1
ATLAS_JES_EffectiveNP_4                                0.999671    1.0006                 1           1
ATLAS_JES_EffectiveNP_5                                1.00206     0.998307               1           1
ATLAS_JES_EffectiveNP_6                                0.998246    1.00191                1           1
ATLAS_JES_EffectiveNP_7                                0.999966    1.00011                1           1
ATLAS_JES_EtaInter_Model                               0.969656    1.03243                1           1
ATLAS_JES_EtaInter_NonClosure                          0.993534    1.00834                1           1
ATLAS_JES_EtaInter_Stat                                0.990749    1.01049                1           1
ATLAS_JES_Flavor_Comp                                  0.919967    1.08679                1           1
ATLAS_JES_Flavor_Resp                                  1.02624     0.976006               1           1
ATLAS_JES_HighPt                                       1           1                      1           1
ATLAS_JES_PU_OffsetMu                                  1.00588     0.99517                1           1
ATLAS_JES_PU_OffsetNPV                                 0.99306     1.01111                1           1
ATLAS_JES_PU_PtTerm                                    0.994352    1.00725                1           1
ATLAS_JES_PU_Rho                                       0.95989     1.04502                1           1
ATLAS_JES_PunchThrough                                 1           1                      1           1
ATLAS_JET_BJES_Response                                0.999552    1.00034                1           1
ATLAS_JET_EffectiveNP_8restTerm                        0.998973    1.00134                1           1
ATLAS_JVT                                              0.997532    1.00231                1           1
ATLAS_MUON_EFF_STAT                                    0.997193    1.00281                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.998553    1.00145                1           1
ATLAS_MUON_EFF_SYS                                     0.985262    1.01497                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.997219    1.00279                1           1
ATLAS_MUON_ID                                          1.00084     0.998664               1           1
ATLAS_MUON_ISO_STAT                                    0.996668    1.00334                1           1
ATLAS_MUON_ISO_SYS                                     0.991957    1.0081                 1           1
ATLAS_MUON_MS                                          1.00102     0.999241               1           1
ATLAS_MUON_SAGITTA_RESBIAS                             0.999593    0.999939               1           1
ATLAS_MUON_SAGITTA_RHO                                 0.998415    0.998304               1           1
ATLAS_MUON_SCALE                                       1.00047     0.999895               1           1
ATLAS_MUON_TTVA_STAT                                   0.995427    1.00459                1           1
ATLAS_MUON_TTVA_SYS                                    0.997776    1.00223                1           1
ATLAS_PRW_DATASF                                       0.993222    1.00567                1           1
ATLAS_pdf_sig_gg                                       0.998149    1.001851               1           1
ATLAS_pdf_sig_qq                                       1.000000    1.000000               1           1
ATLAS_scale_sig_ggH                                    0.997374    1.006363               1           1
ATLAS_HiggsMassVariation                               0.997337    1.002663               1           1
ATLAS_SignalComposition_ggH                            0.938059    1.11912                1           1
ATLAS_SignalComposition_VBF                            1.04601     1.0219                 1           1
ATLAS_SignalComposition_WH                             1.02942     1.06971                1           1
ATLAS_SignalComposition_ZH                             1.02158     1.04635                1           1
ATLAS_SignalComposition_ttH                            1           0.911817               1           1
ATLAS_SignalComposition_bbH                            1.00165     1.06812                1           1
