SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                0.998857    1.00104                1           1
ATLAS_EG_SCALE_ALLCORR                                 0.995737    1.00557                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.999989    1.00023                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00092     1.00003                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.0004      0.999597               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.998665    1.00134                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00118     0.998818               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.997503    1.00251                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.992118    1.00796                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999993    1.00001                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.0001      0.999901               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999956    1.00004                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00029     0.999706               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999634    1.00037                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.001       0.999003               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999823    1.00018                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00075     0.999255               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.999002    1.001                  1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.999418    1.00058                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.998168    1.00183                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999763    1.00024                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999855    1.00015                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999885    1.00012                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999704    1.0003                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999804    1.0002                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.998468    1.00153                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.996984    1.00302                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999508    1.00049                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999638    1.00036                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999785    1.00021                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999549    1.00045                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999631    1.00037                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.997707    1.0023                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.993948    1.00609                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.990955    1.00913                1           1
ATLAS_FT_EFF_Eigen_B_0                                 0.999834    1.00016                1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.999526    1.00049                1           1
ATLAS_FT_EFF_Eigen_B_2                                 0.999921    1.00008                1           1
ATLAS_FT_EFF_Eigen_C_0                                 1.00159     0.998451               1           1
ATLAS_FT_EFF_Eigen_C_1                                 1.00071     0.999285               1           1
ATLAS_FT_EFF_Eigen_C_2                                 1.00035     0.999637               1           1
ATLAS_FT_EFF_Eigen_C_3                                 0.999794    1.00021                1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.999641    1.00036                1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00004     0.999961               1           1
ATLAS_FT_EFF_Eigen_Light_2                             1.00007     0.999929               1           1
ATLAS_FT_EFF_Eigen_Light_3                             1.00005     0.999951               1           1
ATLAS_FT_EFF_Eigen_Light_4                             0.999985    1.00002                1           1
ATLAS_FT_EFF_extrapolation                             0.99987     1.00013                1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1.00012     0.999877               1           1
ATLAS_HOEW                                             1           1                      1           1
ATLAS_HOEW_QCD                                         1           1                      1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.999877    1.00012                1           1
ATLAS_JES_EffectiveNP_1                                1.00027     0.999993               1           1
ATLAS_JES_EffectiveNP_2                                0.999999    1.00026                1           1
ATLAS_JES_EffectiveNP_3                                1           0.999999               1           1
ATLAS_JES_EffectiveNP_4                                0.999997    0.999997               1           1
ATLAS_JES_EffectiveNP_5                                1           1                      1           1
ATLAS_JES_EffectiveNP_6                                1.00001     0.999998               1           1
ATLAS_JES_EffectiveNP_7                                1           0.999998               1           1
ATLAS_JES_EtaInter_Model                               1.00026     0.999791               1           1
ATLAS_JES_EtaInter_NonClosure                          1.00025     1.00001                1           1
ATLAS_JES_EtaInter_Stat                                1.00025     0.999988               1           1
ATLAS_JES_Flavor_Comp                                  1.00026     0.999759               1           1
ATLAS_JES_Flavor_Resp                                  1.00001     1.00023                1           1
ATLAS_JES_HighPt                                       1           1                      1           1
ATLAS_JES_PU_OffsetMu                                  0.999991    1.00025                1           1
ATLAS_JES_PU_OffsetNPV                                 1.00001     1.00022                1           1
ATLAS_JES_PU_PtTerm                                    1.00025     1.00002                1           1
ATLAS_JES_PU_Rho                                       1.00027     0.999961               1           1
ATLAS_JES_PunchThrough                                 1           1                      1           1
ATLAS_JET_BJES_Response                                1.00002     1.00001                1           1
ATLAS_JET_EffectiveNP_8restTerm                        1           1                      1           1
ATLAS_JVT                                              1.00001     1.00009                1           1
ATLAS_MUON_EFF_STAT                                    0.997044    1.00297                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.999279    1.00072                1           1
ATLAS_MUON_EFF_SYS                                     0.981985    1.01838                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.998581    1.00142                1           1
ATLAS_MUON_ID                                          1.00325     0.99668                1           1
ATLAS_MUON_ISO_STAT                                    0.998179    1.00182                1           1
ATLAS_MUON_ISO_SYS                                     0.993887    1.00615                1           1
ATLAS_MUON_MS                                          1.00276     0.997728               1           1
ATLAS_MUON_SAGITTA_RESBIAS                             0.998897    1.00016                1           1
ATLAS_MUON_SAGITTA_RHO                                 0.993249    0.993503               1           1
ATLAS_MUON_SCALE                                       1.00096     0.999732               1           1
ATLAS_MUON_TTVA_STAT                                   0.996992    1.00302                1           1
ATLAS_MUON_TTVA_SYS                                    0.998088    1.00192                1           1
ATLAS_PRW_DATASF                                       1.00126     1.00925                1           1
ATLAS_pdf_sig_gg                                       1.000000    1.000000               1           1
ATLAS_pdf_sig_qq                                       0.998500    1.001500               1           1
ATLAS_scale_sig_ZH                                     0.986025    1.000000               1           1
ATLAS_HiggsMassVariation                               0.997143    1.002857               1           1
ATLAS_SignalComposition_ggH                            1.09041     1.00039                1           1
ATLAS_SignalComposition_VBF                            1.0471      1.03984                1           1
ATLAS_SignalComposition_WH                             1.03798     1.09024                1           1
ATLAS_SignalComposition_ZH                             0.546186    1.55727                1           1
ATLAS_SignalComposition_ttH                            1           0.898687               1           1
ATLAS_SignalComposition_bbH                            1.00027     1.09054                1           1
