SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                0.994186    0.986182               1           1
ATLAS_EG_SCALE_ALLCORR                                 1.0081      0.992711               1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1           1                      1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00079     1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    0.998381    1.00162                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.99706     1.00294                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00342     0.996584               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.992894    1.00713                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.985927    1.01428                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999901    1.0001                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.99955     1.00045                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999522    1.00048                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     0.999726    1.00027                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999351    1.00065                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00257     0.997432               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     1.00077     0.999233               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00293     0.997077               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.997762    1.00224                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.996627    1.00337                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.997217    1.00278                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999742    1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999741    1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999822    1.00018                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999727    1.00027                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999782    1.00022                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999167    1.00083                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.994048    1.00598                1           1
