SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00062     0.999025               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.995067    1.00579                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          0.99873     0.997401               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00056     0.996357               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00007     0.999924               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.998591    1.00141                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00323     0.996791               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.993365    1.00669                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.992473    1.00762                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     1.00001     0.999991               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00021     0.999793               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999784    1.00022                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00087     0.999135               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999318    1.00068                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00118     0.998823               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999199    1.0008                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00222     0.997789               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.99855     1.00145                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.999667    1.00033                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.996209    1.0038                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.99943     1.00057                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999784    1.00022                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999826    1.00017                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999684    1.00032                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999982    1.00002                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.993243    1.00686                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.998932    1.00107                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999633    1.00037                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999803    1.0002                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.999376    1.00062                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999935    1.00006                1           1
