SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00192     1.00021                1           1
ATLAS_EG_SCALE_ALLCORR                                 0.99655     1.00461                1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00007     0.999994               1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00022     1.00019                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00006     0.999937               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.998484    1.00152                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00175     0.998251               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.996645    1.00338                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.991041    1.00907                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999998    1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     0.99994     1.00006                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999905    1.0001                 1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00027     0.999725               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999645    1.00035                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00129     0.998711               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     0.999789    1.00021                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00118     0.998822               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.991881    1.00812                1           1
ATLAS_JES_EffectiveNP_1                                0.989436    1.01117                1           1
ATLAS_JES_EffectiveNP_2                                1.00229     0.997103               1           1
ATLAS_JES_EffectiveNP_3                                1.0001      1.00039                1           1
ATLAS_JES_EffectiveNP_4                                0.999882    1.0005                 1           1
ATLAS_JES_EffectiveNP_5                                1.00092     0.999599               1           1
ATLAS_JES_EffectiveNP_6                                0.999599    1.00075                1           1
ATLAS_JES_EffectiveNP_7                                0.999999    1.00015                1           1
ATLAS_JES_EtaInter_Model                               0.990678    1.00994                1           1
ATLAS_JES_EtaInter_NonClosure                          0.999152    1.00067                1           1
ATLAS_JES_EtaInter_Stat                                0.995624    1.00373                1           1
ATLAS_JES_Flavor_Comp                                  0.971175    1.02705                1           1
ATLAS_JES_Flavor_Resp                                  1.0098      0.990955               1           1
ATLAS_JES_HighPt                                       1           1                      1           1
ATLAS_JES_PU_OffsetMu                                  1.00137     0.998157               1           1
ATLAS_JES_PU_OffsetNPV                                 0.998277    1.0021                 1           1
ATLAS_JES_PU_PtTerm                                    0.998482    1.00174                1           1
ATLAS_JES_PU_Rho                                       0.984464    1.01614                1           1
ATLAS_JES_PunchThrough                                 1           1                      1           1
ATLAS_JET_BJES_Response                                0.999767    1.00033                1           1
ATLAS_JET_EffectiveNP_8restTerm                        0.999702    1.00067                1           1
ATLAS_JVT                                              0.999199    1.00144                1           1
ATLAS_MUON_ID                                          1.00158     0.998757               1           1
ATLAS_MUON_MS                                          1.00142     0.99937                1           1
ATLAS_MUON_SAGITTA_RESBIAS                             0.998581    0.999552               1           1
ATLAS_MUON_SAGITTA_RHO                                 0.995229    0.994974               1           1
ATLAS_MUON_SCALE                                       1.0004      0.998692               1           1
ATLAS_pdf_sig_gg                                       0.998002    1.001998               1           1
ATLAS_pdf_sig_qq                                       1.000000    1.000000               1           1
ATLAS_scale_sig_ggH                                    0.998601    1.000474               1           1
ATLAS_HiggsMassVariation                               0.999811    1.000189               1           1
ATLAS_SignalComposition_ggH                            0.932574    1.13073                1           1
ATLAS_SignalComposition_VBF                            1.05127     1.02228                1           1
ATLAS_SignalComposition_WH                             1.03187     1.07554                1           1
ATLAS_SignalComposition_ZH                             1.02271     1.05082                1           1
ATLAS_SignalComposition_ttH                            1           0.888617               1           1
ATLAS_SignalComposition_bbH                            1.00044     1.07541                1           1
