SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00345     0.997435               1           1
ATLAS_EG_SCALE_ALLCORR                                 0.998224    1.0005                 1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00059     0.99967                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   0.999386    0.999912               1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1           1                      1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00105     0.998951               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.997729    1.00228                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    1.00129     0.998713               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.999773    1.00024                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.991751    1.00834                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     0.999999    1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00097     0.999031               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999976    1.00002                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     0.999583    1.00042                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     1.00006     0.999939               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00045     0.999554               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     1.00039     0.999606               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     1.00034     0.999659               1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.999257    1.00074                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.997394    1.00261                1           1
