SysId                                                  DownVal     UpVal            SysType      Constr
ATLAS_EG_RESOLUTION_ALL                                1.00061     0.998797               1           1
ATLAS_EG_SCALE_ALLCORR                                 1.00378     0.998816               1           1
ATLAS_EG_SCALE_E4SCINTILLATOR                          1.00109     1.00072                1           1
ATLAS_EG_SCALE_LARCALIB_EXTRA2015PRE                   1.00022     1.00193                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2015PRE             1.00091     1.00091                1           1
ATLAS_EG_SCALE_LARTEMPERATURE_EXTRA2016PRE             1.00091     1.00091                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP0                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP1                     1           1                      1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP10                    1.00003     0.999973               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP11                    0.999773    1.00023                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP12                    0.998684    1.00132                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP13                    0.999885    1.00012                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP14                    0.992759    1.00728                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP2                     1           0.999998               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP3                     1.00017     0.999832               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP4                     0.999942    1.00006                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP5                     1.00003     0.999969               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP6                     0.999947    1.00005                1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP7                     1.00103     0.998972               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP8                     1.00081     0.999194               1           1
ATLAS_EL_EFF_ID_CorrUncertaintyNP9                     0.999824    1.00018                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP0        1           1                      1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP1        0.999946    1.00005                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP10       0.999878    1.00012                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP11       0.999139    1.00086                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP12       0.999803    1.0002                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP13       0.999697    1.0003                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP14       0.999736    1.00026                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP15       0.999031    1.00097                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP16       0.999869    1.00013                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP17       0.999906    1.00009                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP2        0.999495    1.00051                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP3        0.999698    1.0003                 1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP4        0.999578    1.00042                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP5        0.999641    1.00036                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP6        0.998839    1.00116                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP7        0.999839    1.00016                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP8        0.999912    1.00009                1           1
ATLAS_EL_EFF_ID_SIMPLIFIED_UncorrUncertaintyNP9        1           1                      1           1
ATLAS_EL_EFF_ISO_TOTAL_1NPCOR_PLUS_UNCOR               0.998721    1.00128                1           1
ATLAS_EL_EFF_RECO_TOTAL_1NPCOR_PLUS_UNCOR              0.994676    1.00534                1           1
ATLAS_FT_EFF_Eigen_B_0                                 0.999975    1.00003                1           1
ATLAS_FT_EFF_Eigen_B_1                                 0.999987    1.00001                1           1
ATLAS_FT_EFF_Eigen_B_2                                 1.00001     0.999987               1           1
ATLAS_FT_EFF_Eigen_C_0                                 0.999777    1.00022                1           1
ATLAS_FT_EFF_Eigen_C_1                                 1.00006     0.99994                1           1
ATLAS_FT_EFF_Eigen_C_2                                 0.999977    1.00002                1           1
ATLAS_FT_EFF_Eigen_C_3                                 1.00003     0.999972               1           1
ATLAS_FT_EFF_Eigen_Light_0                             0.999933    1.00007                1           1
ATLAS_FT_EFF_Eigen_Light_1                             1.00003     0.999975               1           1
ATLAS_FT_EFF_Eigen_Light_2                             0.999948    1.00005                1           1
ATLAS_FT_EFF_Eigen_Light_3                             0.999978    1.00002                1           1
ATLAS_FT_EFF_Eigen_Light_4                             1.00001     0.999988               1           1
ATLAS_FT_EFF_extrapolation                             1           1                      1           1
ATLAS_FT_EFF_extrapolation_from_charm                  1           0.999999               1           1
ATLAS_HOEW                                             1.00477     0.995233               1           1
ATLAS_HOEW_QCD                                         1.0064      0.993604               1           1
ATLAS_HOQCD_SCALE                                      1           1                      1           1
ATLAS_JER_SINGLE_NP                                    0.99926     1.00074                1           1
ATLAS_JES_EffectiveNP_1                                1.00092     1.00089                1           1
ATLAS_JES_EffectiveNP_2                                1.00091     1.0009                 1           1
ATLAS_JES_EffectiveNP_3                                1.00091     1.00091                1           1
ATLAS_JES_EffectiveNP_4                                1.00091     1.00091                1           1
ATLAS_JES_EffectiveNP_5                                1.00091     1.00091                1           1
ATLAS_JES_EffectiveNP_6                                1.00091     1.00091                1           1
ATLAS_JES_EffectiveNP_7                                1.00091     1.00091                1           1
ATLAS_JES_EtaInter_Model                               1.00092     1.00079                1           1
ATLAS_JES_EtaInter_NonClosure                          1.00091     1.0009                 1           1
ATLAS_JES_EtaInter_Stat                                1.00091     1.00091                1           1
ATLAS_JES_Flavor_Comp                                  1.00101     1.00076                1           1
ATLAS_JES_Flavor_Resp                                  1.00087     1.00093                1           1
ATLAS_JES_HighPt                                       1.00091     1.00091                1           1
ATLAS_JES_PU_OffsetMu                                  1.00088     1.00091                1           1
ATLAS_JES_PU_OffsetNPV                                 1.00092     1.00089                1           1
ATLAS_JES_PU_PtTerm                                    1.00091     1.0009                 1           1
ATLAS_JES_PU_Rho                                       1.00094     1.00085                1           1
ATLAS_JES_PunchThrough                                 1.00091     1.00091                1           1
ATLAS_JET_BJES_Response                                1.0009      1.00091                1           1
ATLAS_JET_EffectiveNP_8restTerm                        1.00091     1.00091                1           1
ATLAS_JVT                                              1.00091     1.00091                1           1
ATLAS_MUON_EFF_STAT                                    0.998834    1.00117                1           1
ATLAS_MUON_EFF_STAT_LOWPT                              0.996388    1.00362                1           1
ATLAS_MUON_EFF_SYS                                     0.994375    1.00564                1           1
ATLAS_MUON_EFF_SYS_LOWPT                               0.992649    1.00737                1           1
